name,category,protein,carbs,fat,kcal,tags
Avena clinica,desayuno,20,40,10,330,diabetes;fibra;desayuno
Huevos con nopales,desayuno,24,18,14,290,desayuno_mexicano;alto_proteina;glucosa
Molletes ligeros,desayuno,22,34,11,330,desayuno_mexicano;fibra;saciedad
Yogur con mango y chia,desayuno,18,36,9,290,desayuno;digestivo;antioxidantes
Smoothie calorico equilibrado,snack,18,48,14,390,tca;alta_densidad_nutricional;colacion
Yogurt con nueces,snack,15,16,12,230,bajo_calorias;alto_proteina;colacion
Fruta con nueces,snack,5,24,10,200,colacion;grasa_saludable;portable
Jicama con crema de cacahuate,snack,6,18,9,170,colacion;crujiente;adherencia
Smoothie recovery,snack,30,40,5,300,post_entreno;rendimiento;recovery
Snack preentreno platano miel,snack,3,38,1,170,pre_entreno;sprint;energia_rapida
Pollo con quinoa,comida,42,35,12,420,diabetes;alto_proteina;fibra
Ensalada de atun con aguacate,comida,34,12,18,340,diabetes;bajo_indice_glucemico;cardioprotector
Ensalada de pollo,comida,35,10,12,250,bajo_calorias;alto_proteina;obesidad
Pollo con arroz y aguacate,comida,48,44,18,540,ganancia_musculo;hipertrofia;alto_proteina
Pasta con carne magra,comida,42,58,14,520,hipertrofia;rendimiento;recuperacion
Bowl hipertrofia,comida,55,45,20,600,alto_proteina;ganancia_musculo;hipertrofia
Bowl de lentejas,comida,24,52,10,390,vegetariano;fibra;saciedad
Tostadas de atun,comida,32,28,11,330,mexicano;alto_proteina;practico
Panela con nopales y tortillas,comida,26,30,16,360,mexicano;vegetariano;adherencia
Bebida isotonic natural,snack,0,24,0,96,resistencia;hidratacion;entreno
Batido postentreno,snack,28,42,6,330,post_entreno;hipertrofia;recovery
Ensalada con salmon,cena,32,10,18,330,cena_ligera;omega_3;saciedad
Queso panela con verduras,cena,24,18,12,280,cena_ligera;vegetariano;facil
Tazon de tofu y verduras,cena,22,16,11,250,cena_ligera;vegetariano;fibra
Atun con ensalada fresca,cena,30,8,7,220,cena_ligera;alto_proteina;practico
Bowl completo balanceado,comida,28,38,14,390,tca;balanceado;alta_densidad_nutricional
Ensalada clinica,comida,35,10,12,250,bajo_calorias;diabetes;alto_proteina
Pechuga con camote y brocoli,comida,40,34,8,360,definicion;alto_proteina;deportivo
Licuado de avena y kefir,desayuno,16,42,7,300,desayuno;digestivo;resistencia
Garbanzos con arroz integral,comida,20,54,8,370,vegetariano;energia_estable;fibra
